Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_46_689.jpg;0;0;1;0;102.9455;74.25418;0.0002435705;283.7214;8.89186E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_46_723.jpg;0;0;0;0;102.9455;74.25418;0.0002437139;283.7214;1.008388E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_46_790.jpg;0;0;0;0;102.9455;74.25418;0.0002438318;283.7214;1.106399E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_46_857.jpg;0;0;0;0;102.9455;74.25418;0.000243937;283.7214;1.193814E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_46_923.jpg;0;0;0;0;102.9455;74.25418;0.0002439704;283.7214;1.221628E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_46_998.jpg;0;0;0;0;102.9455;74.25418;0.0002435307;283.7214;1.213483E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_064.jpg;0;0;0;0;102.9455;74.25418;0.0002428376;283.7214;1.173451E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_129.jpg;0;0;0;0;102.9455;74.25418;0.0002421094;283.7214;1.10428E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_194.jpg;0;0;0;0;102.9455;74.25418;0.0002413525;283.7214;1.011269E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_262.jpg;0;0;0;0;102.9455;74.25418;0.0002403088;283.7214;8.585576E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_329.jpg;0;0;0;0;102.9455;74.25418;0.0002395042;283.7214;7.258127E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_394.jpg;0;0;0;0;102.9455;74.25418;0.000238682;283.7214;5.784988E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_461.jpg;0;0;0;0;102.9455;74.25418;0.0002371412;283.7214;3.699609E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_529.jpg;0;0;0;0;102.9455;74.25418;0.0002356561;283.7214;2.077797E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_594.jpg;0;0;0;0;102.9455;74.25418;0.0002341647;283.7214;4.030073E-07
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_662.jpg;0;0;0;0;102.9455;74.25418;0.0002321698;283.7214;-1.88303E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_729.jpg;0;0;0;0;102.9455;74.25418;0.0002313174;283.7214;-3.607819E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_796.jpg;0;0;0;0;102.9455;74.25418;0.0002313301;283.7214;-5.288904E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_862.jpg;0;0;0;0;102.9455;74.25418;0.0002310783;283.7214;-7.381565E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_929.jpg;0;0;0;0;102.9455;74.25418;0.0002311245;283.7214;-8.784504E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_47_996.jpg;0;0;0;0;102.9455;74.25418;0.000230758;283.7214;-1.004375E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_061.jpg;0;0;0;0;102.9455;74.25418;0.0002305907;283.7214;-1.143444E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_129.jpg;0;0;0;0;102.9455;74.25418;0.0002302831;283.7214;-1.220362E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_197.jpg;0;0;0;0;102.9455;74.25418;0.0002302066;283.7214;-1.283937E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_262.jpg;0;0;0;0;102.9455;74.25418;0.0002304027;283.7214;-1.299731E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_330.jpg;0;0;0;0;102.9455;74.25418;0.0002306273;283.7214;-1.291685E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_395.jpg;0;0;0;0;102.9455;74.25418;0.0002304521;283.7214;-1.258673E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_463.jpg;0;0;0;0;102.9455;74.25418;0.000230554;283.7214;-1.173907E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_530.jpg;0;0;0;0;102.9455;74.25418;0.0002304489;283.7214;-1.082617E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_595.jpg;0;0;0;0;102.9455;74.25418;0.0002305811;283.7214;-9.726867E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_664.jpg;0;0;0;0;102.9455;74.25418;0.0002312169;283.7214;-8.016313E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_730.jpg;0;0;0;0;102.9455;74.25418;0.0002307485;283.7214;-6.549137E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_793.jpg;0;0;0;0;102.9455;74.25418;0.0002315771;283.7214;-5.023012E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_862.jpg;0;0;0;0;102.9455;74.25418;0.0002313811;283.7214;-3.078031E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_929.jpg;0;0.2050975;0;0;102.9455;74.2542;-0.000141014;283.7493;-6.976141E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_998.jpg;0;0.4005964;0;0.01372738;102.9461;74.25186;0.0513563;283.8411;-0.0001895761
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_064.jpg;0;0.6030151;0;0.05090035;102.9474;74.24669;0.1625865;283.8314;-0.0001684225
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_113.jpg;0;0.7026982;0;0.06613524;102.9484;74.24245;0.2479943;283.9785;-0.0008604616
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_180.jpg;0;0.9518515;0;0.11153;102.9516;74.22963;0.4871655;284.0403;-0.0008736954
